Cost of end is 4017
Parent of 8 is 15
Parent of 15 is 22
Parent of 22 is 37
Parent of 37 is 44
Parent of 44 is 36
Parent of 36 is 43
Parent of 43 is 58
Parent of 58 is 73
Parent of 73 is 81
Parent of 81 is 96
Parent of 96 is 103
Parent of 103 is 95
Parent of 95 is 87
Parent of 87 is 79
Parent of 79 is 86
Parent of 86 is 93
Parent of 93 is 108
Parent of 108 is 116
Parent of 116 is 131
Parent of 131 is 138
Parent of 138 is 153
Parent of 153 is 168
Parent of 168 is 175
Parent of 175 is 190
Parent of 190 is 197
Parent of 197 is 204
Parent of 204 is 219
Parent of 219 is 226
